screen_name	name	id	location	followers_count	friends_count	description
ijdijdijd	Irwin Drucker	1525133227		94	171	
Daisy_Ortega27	daisy	1138263298795663361		33	75	
ChristopherToy	Christopher_sex_toy	1325090486240088064		1208	2786	Want have sex with me? 😈 Find me at my profile and chat: https://t.co/7IvhH51qO8
Sammyrae030507	Sammy	1502531271850926082		8	88	
Tikoslove	Maria	1502528228728225793		1	89	The people I surround myself with
oooyouresoangry	oooff_youresoangry	1484381810926698502	idk yet 	3	182	🌂🌂🌂🌂🌂🌂🌂🌂🌂🌂🌂🌂🌂🌂🌂🌂
ericaylagann	💤	1368514933600649216		8	70	🍾🙏🏻
AMagnoooo	A. Magno	1098026489130479616		81	207	
jakepend	Jake Pendleton	19272656	Brooklyn	40	255	self tanning
q_sasafras	Queen Sasafras 🏳️‍🌈🇵🇷🌈 🖖	1486661989267120133	The Abyss	15	350	Imma justa sasafrasing
texastarget	Texas Target	980130986	Texas	5	172	
cinmaciel	Cindy Maciel	199128559	California, USA	150	684	📖🤓
arturovasquez__	Arturo Vasquez	715638104900538371	Phoenix, AZ	289	1067	
j_ritchie	Janet Ritchie	53753407		6	226	
fabioliiiita	Fabiola Tamashiro	1501018454018514951		0	46	
Anelia66399672	Anelia	1498393664934105095		0	39	
sped_bundy	ً	1470819204932669442		595	186	
Corsica267	Corsica267	561832399		36	827	
jagg811	Jo Jagg	938874123119243265		224	478	
KellyUmesh	Umesh Kelly	1492944519297667072	gelephu	2	74	🦁 lEO
YZ04QScKTgN5Xwf	..	1394025874735996932		11	1207	
FEL15570395	FEL	1502531678040104960		0	134	Weeeeee
AdamickDiane	Diane Adamick	4856397244	United States	97	1005	Hardest thing a parent can do is to have plan funeral for your child that was murdered. Time does not heal.
mollmoll4	honorary westerner mollmoll21	492636252	Cincinnati, OH	1046	1479	umich 21 | its ya boy skinny penis | he needs to KNOW who his real daddy is | today is about herpes | she/her
montanalydia	lydia Montana	571865501		6	47	
NancyTurb	Nancy Turbyfill	116858277	Gainesville, FL	56	890	
lesleyz12	lesleyz12	1293103122		0	5	
AzarenkaOUT	AzarenkaOUT	1481357786709692419		61	215	
xlovelily	宽蜜容	123575914	멜로가체질.mp3	84	109	to the end of that sky • 睡觉
ddaemien_	🎓	1395746287933222913		50	165	
CharliePurple6	Charlie Purple	1299525161100640256		28	419	Parent of 2, Healthcare provider, Fighting for the next blue wave
sincerelyanaa	Ana Gabriela ☾	133087169		233	431	
the_nubian_	tea-soaked letter	1252557364416450560	Area 51	139	487	👽🌈|Non binary|we're young so we act like it💨 |Model Scout
JERIJO8	JERI JO	1502377039294312472		0	20	Short Bus rider
WitRobby	Robby	876174253938311168	The Hague, The Netherlands	1	153	
emlovests	em (taylor’s version)	1451024357656956928		3	328	She/her/hers, harrie and swiftie :))
moshpweets	moshtwit	633464491	Toronto, Ontario	240	584	she/her • all thoughts & tweets are my own and/or from possibly a more unhinged version of self •
jellycIub	totga ni jaehyun	1277514081600065536	any prns ✿ #_#	13	427	student at NCIT — PhD in Jaehyunism 👩🏻‍💻 proud gatekeeper
sherriegb	Sherrie Berger	40311383	Los Angeles, CA	407	1453	Creativity+Collaboration=Consultant. Photography+Art+Nature=Magic 🎨🌱🌿📷
ameliafarley_	Amelia	1452568037316448258		1	58	ask me about my biceps
ControlShtick	qwil/vino	1227403395721564160	Toxtri City	296	262	⚡ dummy ⬛ https://t.co/ufQgFPWf1h 🟩 @TopplingDomin0 /p
KaitlynKindell	Kaitlyn Kindell	2957577868		11	277	
_inkedup_bbw	Staar	68028637	Here and There	317	936	Live....Laugh....Love It's that simple.
fionathelewis	Fiona	48729654		9	992	
pocketprince123	Charles	779432511625568257		18	362	He/Him losing self respect so you don’t have to
lhamanda	LGH	24104009	Missouri	218	828	Social Democrat, Retired, Animal Lover, Miniature Builder
LSplat	Blank	1194086659	St. Johns	16	47	
shiratarrant	Shira Tarrant, PhD	52437205	Los Angeles	2655	1771	Unconventional feminist redefining gender justice. Author, professor, public speaker, and pop-culture critic.
SilentCuddle	SilentCuddle (they/them)	1235049516450983937	They/them	107	467	NSFW. Non-binary bratty polyamorous dork with a cat and dog. The Yennefer to his Geralt. I like witchy things, rain, and love.
angelkn1fe	𝔞𝔩𝔳𝔞𝔫𝔞	1661259613		660	491	i can't swim
BarbMollyTV	🦄 BARB MOLLY 🏳️‍🌈	2809199516	San Junipero	89	212	your gay internet bffl🤘🏽all social media: @barbmollytv
KellenUrquizes	K E L L E N	862399513490849792	Manaus, Brazil	41	498	Stay positive and good things will happen!
aliceottokeen	Alice Ottokeen	2479072574		87	1067	IP of me
jordizzle140398	Jordan 🏳️‍🌈 🦕🦕🦕	1271066942	 he / him they / them 	940	4999	Founder of KLOVE, SUTR East Anglia activist, UBI Lab Norfolk member, Autistic, from Norfolk. #actuallyautistic ALL views are my own unless STATED OTHERWISE
LotHussle	𝕷𝖔𝖙 𝕳𝖚𝖘𝖘𝖑𝖊	479439322	Minneapolis, MN	559	829	Producer•Rapper•Engineer•Entrepreneur 17Dimensions@Gmail.com ♉️ https://t.co/OTzOeeSnuB
luvdenimxx	jesus	1318869628290953216		2	168	18. never trust a male virgo.
LittleLeanda	Leanda Little	1466333870001831938		2	14	
KittyBa83742257	Kitty Barker	1477892068785770500		350	1311	I'm an artist and I like making art
Great_Gospel571	Sailor Link! HAPPINESS	1346353535223439361	He/She/They	266	1203	We out here, falling in love with fictional characters and shit. I’m hot. you’re hot. shout out to us. Percy Jackson Kinnie. @dsfedefender is my Annabeth Chase
HeidiP08	Heidi	977626014934339585	Canada	41	407	
bryspeed1e	Bspeedie	2768053005		603	4903	
kvtefvjimoto	kate	1018643964822368257	San Jose, CA	171	192	
nimdaghlian	social distancenim	151617075	Portland, OR	199	411	https://t.co/6CyUcJBKVK
carrie_paterson	Carolyn Paterson	20300646	Woking, England	511	938	F1 Press Officer 🏎
GarretxBlair	Garret	177100964	Palm City, FL	929	935	
llizardds	nic	1252807545204269059	Riverside, CA	38	70	
TurnerIG1	TurnerIG	1491959227291627520		0	6	
baimurs	BAIMURS 🐦	965155961919782912	Jura Tempest Federation	39	180	MYOB | INFJ | 🕊ⓘ
spondeux	Alexander	1364303653989883904		34	937	undergrad @stanford
executivebrian	Brian D	774316479881719808	Huntington Beach, CA	57	512	Loyal citizen of Jeff's World
hululemon	LEGGINGSSss	1493062004524916745		8	364	all chest no legs
FangCosplay	⭕️ Dawn (Alex Croft)	762363357210943488	Victorville, California	96	427	CA | 25 | 1•15•97 | VVC Theatre Arts | Cosplayer | Actor - Central Casting L.A. | Voice Actor | Gamer | Poet | Artist | Singer | Model | GRAMS: @/da.actor
sophiiihannah	sophi	2827071355		190	183	V O T E
Tonkagarfield	Dee (Mosqueeches)	210698604	North Dakota, USA	25	490	26 years old
ilsguzman	Ilse Guzman	1117499041519144960		21	145	💛
LoveFaction777	World Love Faction	1478964665170468869	Toronto, Ontario	14	164	It's not about left, or the right, Nazis or Communists, the pursuit of money or stardom. The real answer to the oppression of society is: Love!
eugen_iia	eugenia (Taylor’s version)	1073408329420922881	Mexico	18	215	💚💜
BRIANFi59439853	BRIAN Fisher	1291457222371753985		48	2457	love hiking
DoreenS39048362	Doreen Simpson	1441426680799707138		0	75	
50_vanilla	SWEET Vanilla 50	1408297022126444545	TEXAS	94	318	Finally FREE to live...NEW journey...New friends/HAPPINESS is coming!!
TEJacoby	Thomas Jacoby	28741960		252	785	
red_bullseye	Rhonda	23171473	Orange County, CA	61	1524	
pearllnet	littlebigpearlnet	1323781932711399424		0	31	
patriotic_lib	Joan Carr 🇺🇸	942803896954527744	California, USA	8	132	Just your average, educated, middle class, professional, wife, mother, and grandmother.
LeanneSteele31	Leanne	883794929650151424	England, United Kingdom	4	49	
DataTabz	🕊️✨	1335511347698741249		130	940	I am a sweet tooth under renovation.
runningwater63	runningwater63	912880801		11	142	
hiidefgeoff	eric is a complete mess 🪴 TODAY!!	1149603071527231489	xe they he it vamp ☽☾ 16	564	690	#Parx: god’s favourite fucking boy band .
Talldrink55	Patty Wallers	2533692666		76	108	
sparklekid23	phoebe	1332188364951474176		3	22	leave me alone
sarah_d_43	GenericUsername	889547369251037186		11	277	
worthy4yourlove	Ⓒⓗⓔⓥⓔⓡⓩ🏳️‍🌈🎂🎉💝🙏🇵🇭	1338848037427236865		8660	8795	(He/Him🌈) #LGBTQIALivesMatter #AsianLivesMatter #DiversityAndInclusion #KindnessMatters😇 #LoveWins #LGBTQfilms #TRUELOVE🏳️‍🌈💕🙏 #BetterDaysAreComingSOON🙏
HvyDty4x4	Badger	477382009	Wilton Manors, FL	119	236	Air Force veteran, motorcycle enthusiast and staffer to a demanding cat. Oh and by the way, I'm not a practicing homo - I got it down pat. VOTE BLUE!
DarMV	Darlene	24719133		741	368	My posts are my own
sophieee6382	sophie	847696335562199040		141	390	colorado state ♉️♍️♐️ she/her
theglitterizer	gabe @ hydrated era	1377325682901065730	Brazil RJ	31	403	I love myself but I don’t like the way I am | Tweets in ENG 🇬🇧 & PT 🇧🇷
tallenaz	tony zanella	1042672064	CA	54	957	he/him, tech worker, heavy music, bass player, runner
theresa_tryon	theresa tryon	1451603387691241475		19	121	Retired from 30 years of Police, Fire and EMS dispatching. Loving my life now as a fan of bingo and reading.
dblex0x01	.	708793262715346944	...	48	3456	
Marianne_64	Marianne	1868200741		7	67	
flzsb_19	Phuc Bui	1452848087160942593		1	36	
wiles_courtney	☠Courtney☠	353184279	Seattle, WA	331	338	She/her
relevantdonuts_	Allie	1471517959352848390		30	130	📍LA, she/her, 30s 🏳️‍🌈 head empty, #Succession only
PasCachondo45	Pasivo Cachondo	1502494177795444737	CDMX	3	192	Maduro cuarentón, inter más pasivo, con gusto por oral, cachondo y amante del cruising, sexo grupal, beso blanco y lluvia dorada.
tepteada420	tea♡	1379972629273120773		17	33	money me money now me a money needing a lot now
nmariesv	nmarie	4834752019		0	344	
Bunnysishi	Sishi Unterberg Choi	19849954	San Diego, CA	28	227	♡.(✿╹◡╹)ﾉ★☆.｡₀:*ﾟ✲ﾟ*:𝔉𝔞𝔪𝔦𝔩𝔶❤︎𝔉𝔞𝔰𝔥𝔦𝔬𝔫❤︎𝔉𝔢𝔢𝔩𝔦𝔫𝔤❤︎ ☻︎❤️🧡💛💖💚💙💔💜🤎♥️🖤☻︎ 𝐼𝑆𝐿𝐴𝑁𝐷💖𝐶𝐼𝑇𝑌🧠🦋𝘤𝘩𝘳𝘰𝘯𝘪𝘤𝘱𝘢𝘪𝘯 𝘧𝘪𝘨𝘩𝘵𝘦𝘳💋
maarten32228649	maarten	1490218242379550722	Eindhoven, Nederland	0	6	Rustig
nookiemoolook	i eat poop	1382533649577299970		6	34	
KTB_80	KB	53861580		189	419	Exhausted Mum of two, wife to husband, walker of Schnauzer.
thisisawura	Cassie Howard’s crocodile tears	112536536	Brooklyn, NY	1783	1676	🇬🇭 | Writer | SJU Alumna | Everything Is Everything | #ALLBlackLivesMatter #SayHerName Likes/RTs ≠ Endorsements
nunya33369999	nunya	1270904086553133057	3.6.9#SlayTheKMonster	1057	3869	I loathe trump I loathe both D&R I loathe organized religion & Labels U dont have 2 agree, but dont follow me if u're sensitive/prone 2 take things personally.
Suzyqfit4u	🆘🌳S꙰U꙰Z꙰Y꙰Q꙰🌳🆘	825593425680437248	🚫DM 🏳️‍🌈ally 🚫locked Acct.	43934	41213	@EllenBarkin @morgfair @TeamPelosi @amyklobuchar @NancySinatra @donwinslow @glennkirschner2 @mmpadellan @chipfranklin @joncoopertweets @funder @KimMangone 🇺🇦
5th_InLine	Isom	1103841231635800065		55	1171	He/Him Future famous actor. FGC. Currently have a podcast on Spotify and Apple called N.P.C nice people chatting!
krys_meunier	Leslie Meunier 🔮	1196994880825970688	Poza Rica de Hidalgo, Veracruz	530	912	welcome the coven!! cuando dos personas están destinadas a estar juntas, eventualmente encontraran la forma de estar juntas.
BoatJail	The Brig	944418805136216064	Maryland, USA	145	258	sup
marvelattech	dawson	2882221558	Your house 	148	968	he / Spiderman / 21' / OSU design foundations
JouMn8	Jou-Män	1254685245061894144		100	263	Näillä mennään. Maailma ääripäineen kiehtoo. Mielipiteet omia eikä edusta yhteisöä tai yritystä.
TheRamencupGirl	Maggie	3301740136		55	247	
kyliemal72	kylie malafant	80030262	australia	19	191	Sth Coast is heaven
ancientminds	b	2927076783	☉ taurus ☽ sagittarius ↑ libra	2751	106	I’m living, loving, learning/unlearning, growing ⠀ ⠀ ⠀ ⠀ Always doing the inner work
BetteVile	BetteVile	1450137127677747201		23	129	Artist formally known as Hayley
Chimdiogo_	Life in Sepia🍂	801309836	🏳️‍🌈	1517	1228	Podcaster | Art person | Feminist | Antisocial Extrovert¿ |🦄🍀 | She/Her • Check out my podcast channel ❤
graprefruit	Maybe: boiled hot dog	127092689	Rhode Island, USA	214	419	
lindaruthless	lindaruthless	19791285	Madison, WI	145	481	bahn mi bon amie
barberatxusa	Serbian Barber in Texas	1275776912711921664	Abilene, TX	23	1062	
AlexR07557612	Alex B	1240622120461271042		2	32	Married, Funny (I think haha), Love Make-Up, Love my Family, Love Self Expression, Love my Man, Love ART!! ART ART ART!!!
theoodee	Theooo · ॐ❤️‍🔥	165833129	LHR / JFK 🇬🇧🇺🇸	421	278	soulful designer who makes videos 🖖🏽 ✨ 🌴
Vee_truth	Vee	1230308669998260224		6	188	
emmaerowan	em	2243411041	mîmîw sâkahikan	11	226	🦦
MantyCatMom	MantyPam	261411773		5	388	
willm0rt	wiLLiam	1175955303415726082		110	243	all is full of love | fiona apple is the only artist to ever have a flawless discography | ugliest pig aunty stan
milf_666	hannibal	989592039103725568	Minnesota, USA	88	365	absolute filth ✨
splendifer0us_	Karla G.	233479151	Los Angeles, CA	2037	921	On a mission 4 the things u can’t buy.
allywaterlily	uosʎllɐ 🦭	2908755650		396	324	she/ her | student nurse | 🇵🇭🎀
BethArmogida	Beth Armogida	190766666	Los Angeles, CA	1570	460	Real writer. Fake redhead.
LiminalLasagne	House Pinot Grigio	521013722	Globular Star Cluster NGC 5897	316	428	check ignition, and may god’s love be with you
dojadecade	yess daddyyyy	1430190388908810247	ski mask wayyy⛷	7	82	i stand with pete davidson #kanyeisill
LeeKroeger1	Lee Kroeger	1131748239231733761		10	123	
JuneNegovan	June Negovan	1488005302494515200		2	202	
Adri_Hymovitz	Adriana Hymovitz	298873972		92	471	
calley_john	John Calley	2858244383	Michigan, USA	24	429	
CaityTay	Vaccinatedandwearamask	28925630	Napa, CA	1679	1835	mom•wife•dog•mama•foodie•proud dem•grateful for science•army family•I drink and I sew things •no DMs please. #Resist #voteblue #getvaccinated #bidenwon
jadajadabaaby	HRH Lady Kage 🐊	1362115944026431490	Florida, USA	10822	1292	NSFW 😍 Rock n Roll babe🤘🏽 , wrestling page @wrestlewithjada 🤼‍♂️ Cut the Shit & Do It Foo 🐊
hd8260	Hoang Dang	28973144		5	77	
rachtothetown	Rachel Sheldon	186412166	Melbourne	42	342	
vodkatonicpls	Angie 🍸💙	2766982246	Exeter, England	177	1289	Just here to quietly watch you for my own amusement
brwnlizziemcgre	T🤎	1194338629306339329	Las Vegas, NV	176	285	in(sulin)dependent woman💉
MimiWendy25	Mimi	1498484579388190720	Montana, USA	269	1006	Grandma of 5. Forever Democrat. Peace ❤ person ❤ God ❤ Montanan who thinks mean people suck. Making good memories is all we have to take with us, make em count
sagpariyasagar2	ssp	1502520834422099968		10	265	
FFuckhole	Thong Slut BLM	1056051956458766336	Vancouver, British Columbia	21890	525	Just looking for attention. Fisting, thongs, BDSM. In Vancouver? Say hi. No Chems. @FlowerJock and @TOJockFF are my family.
carolhblack	CarolHBlack	820452883		865	1638	🇨🇦Expat living in US Dismayed by the T***p years. Now so happy today to see the Biden/Harris WH up and running.
Sandonnay	Sandy🌻	509621025	Earth	228	836	Love is all you need. Let people vote. I like cats and democrats. Thank a clinical trial volunteer. It's HIPAA with 2 A's, not 🦛Friend of the Pod. 🌊
xoxo__Lissette	𝑳𝒊𝒔𝒔𝒆𝒕𝒕𝒆 💋🌱	123138836	Los Angeles, CA ☀️🌴	627	589	✨𝑻𝒉𝒐𝒖 𝒔𝒉𝒂𝒍𝒍 𝒏𝒐𝒕 𝒍𝒆𝒕 𝒍𝒐𝒘-𝒗𝒊𝒃𝒆𝒏, 𝒔𝒌𝒆𝒕𝒄𝒉𝒚-𝒂𝒔𝒔 𝒆𝒏𝒆𝒓𝒈𝒚 𝒑𝒆𝒏𝒆𝒕𝒓𝒂𝒕𝒆 𝒕𝒉𝒆 𝑨𝒖𝒓𝒂✨🦋 🇲🇽
srlfsx	sophie	705593356341145602		158	290	chicago
Kat07684273	Kat	905134732429729793		4	292	
kylekroe	Kyle Roe	798973595275755520		182	3644	bylines @Bandcamp, @SBIndyNews
SyldraRiver	Syldra River, Witch of the Waste (BLM)	990988016842825729	The Wasteland	82	299	Trans, witch, philosopher, medium, summoner, and contractor of spirits and gods. There is more to this world than you’ve been taught. Open your mind. 18+
kilerbob5	kilerbob5	1906524661	Earth	105	2517	I liked anything pop culture and I collect Funko Pop.
poutinekween	ruthless🕷	434417297	a place	154	312	
CalRedwoodtree	Vicki Sosa Z	2369708467	Ventura County, CA	1119	3238	Retired public school teacher, LAPD officer too. Believer in Democracy, “Say what you mean, but don’t be mean”.
yyangg_g	puno	1241824451936661504	직진 	54	479	sol la mi fa sol
krisciminocomc1	Rubytoday	1501309616361119744	Earth	1	47	Spreading fun and peace like peanut butter everywhere.
CAFP53	Cheryl	1502516677149298689		8	176	
LolaZieta	Lola Zieta	78857396	Indonesia	99566	1052	
sophieelisa_	sophie martinez	1136017171601952768		16	69	gender-neutral ass, please
SJ16328928	SJ	1306380938876575744		109	165	Strong women don't have attitudes they have standards.
pizz243	Ryan	3312675365	Tonawanda, NY	254	4182	#billsmafia
amy_christinek	Amy Kearns	3219883858	Lexington, KY 	584	1762	Journalism, photography & criminology-trained. Spent last decade in racing. Freelancer and algebra fan.
chloep202	chloe	865482420874747905		27	399	
excusemeuhmmm	ᴉʇuǝʌ ɐuɐᴉɹɐ	742546692222930945		44	122	you’re killing me, buster
fuscob912	bianca	1401717853506703360		0	64	
Yutamasenpai	Shipshippershippest	798097669100969984	Somewhereinthisplanet	75	789	18 years old เป็นคนไทยแต่ถ้าประเทศจะเหี้ยขนาดนี้ก็อยสกเป็นนางเงือก
carolinewhatev	Caroline	1491443706452484103		0	5	
ClaudiaLaManti	Claudia LaMantia	920154750632337408		5	139	One step closer (to life to death) 🎥🧘🏻‍♀️🐕🖋
MarkDerocco	MaybeIshouldjustsayMark	1492270695203708937	It's cold	5	103	I think it's pretty clear that we are now officially in the handbasket. Trumpers piss off. I may be an A-hole, but I'm not 100% a dick.
elliott_kamryn	Kamryn Elliott	1581282222	Oregon 	20	381	
ttsWRLD	TT	1385712467817402369		71	140	modern day mesopotamian 🦋
quarantinedia16	vic ⁷	1250002277647056898		102	636	ARMY | OT7 | struggling grad student | BTS is my happy pill
Erincol11	EEMC	822850580213284865		448	667	Things I care about: women’s issues, the environment, lgbtq, equal rights, Black Lives Matter. Pet and nature lover. she/her. 🏳️‍🌈🏳️‍🌈
joemaliro	JoeCool	369980262		94	1675	COOL,KIND,FUN LOVING BUT DISCIPLINED!
J_MareC	Jacob Cantu	2843849267	Harlingen	52	735	Nerd. Peaked when in middle school.
maybelexus	lexus	1297371956	she/her	903	516	“@rihanna: A rat is a rat”
koenigskne1	Adam Koenigsknecht	1456703516538392577		0	94	
HannahWoehrle	Hannah Woehrle	1133534992464842752		113	89	MSU ‘24 she/her/hers
SmittyGlenn	SmittyGlenn 🇺🇦🏳️‍🌈	2218867900	Texarkana	517	262	Musical Artist, Music Instructor, US Navy Veteran
twistybri	brijole	881354390		55	63	
JesseDo33674922	Jesse Donovan	1083429953239216128	Newfoundland and Labrador	0	60	
juliebeger	Julie Beger	189382801		150	215	
danaxrussell	Dana ♥	1370807814	Mass	114	362	
drnonawilliams	Dr. Nona Williams 🇺🇸	1514828017		665	1007	Psychologist, believer, humanist, with a very low tolerance for bullshit.
izabelderohan	- bel 🏳️‍🌈📚: The Song of Achilles	213117941	(RJ - BR)	270	592	Escrevo não nas horas vagas. Traduzo grego antigo, leio vários livros ao mesmo tempo e choro em comercial. Bacharel em Grego Antigo Text rev. - eBook editor
HEARTBREAKJ00N	star 🪁	1462521016408752130	she/her • black • 07	554	803	bts and twice certified assistant | multi | ya favorite funny oomf | mj’s best lawyer (real) | an arby’s hater
ulisesderas	uli	275729764		195	2125	no me gusta
ewsayed	nike of samothrace	854767638844772352	she/her	143	296	she looks just like a dream (the prettiest girl i've ever seen) || uct cs
_leticious	Lettie 🖤	733457570233352193		407	408	sc: Minerva_976
levine_sheryl	Sheryl Levine	1219894519082012672		5	103	
urqueerbae1	urqueerbae	1045247210374320128		31	670	typically submissive and breedable uwu
MotherOfMen_	Mother of Men	963132534673440768		135	102	Mother. Baker of many hot takes. Predicted Russian interference in our elections two years before it happened.
SolPazKistler	Sol 𓆸	1464339565620125711		10	39	❤️‍🔥🕷💋👼🖤🤠
Gabriella4p	gabdawg	1087424094218399746		54	193	
MonicajayeS	MonicaJaye’sCow🐮	1350322175882891264	Sparks, NV	25	55	Just a lil’cow letting NV know what a total hypocrite @MJ4Nevada is. She had 3 abortions but wants them banned now so she can pander to the GOP, QAnon and MAGA
yueler	‏ً	975037715501559808	17	38	68	
VanessaKohler71	Vanessa Kohler	834187582334332928		9	51	
graceraymondd	grace	1013917688744239105		301	600	student athletic trainer • she/her • 18
BarbTheissen1	Bitchin Barbie	1394894301360951298	Minnesota, USA	1243	2645	Just here to troll the former guys supporters NO DM'S, NO GQP, NO BULLSHIT. NO TRAITORS .Trying to rebuild my followers. Again.
_Vvipul	Vipul	422542088		13	426	
mun_a98	💜ᴮᴱSTREAM INVU⁷𖧵💎	3425891435	London, England	186	2282	𝓐𝓵𝓵 𝓽𝓱𝓮 𝓫𝓻𝓮𝓪𝓽𝓱𝓼 𝔂𝓸𝓾 𝓫𝓻𝓮𝓪𝓽𝓱𝓮 𝓪𝓻𝓮 𝓪𝓵𝓻𝓮𝓪𝓭𝔂 𝓲𝓷 𝕡𝕒𝕣𝕒𝕕𝕚𝕤𝕖▪️Armywolmoamintblinger (fan account) × He/Him × 23💜
honeydoveee	mellilla	1354477225345765376		1	35	she/her
TonyAlexandreCA	Anthony	826591152010776576	USA	85	170	Life is so short to be waste
ryancheslyn	Ryan	1414491966428127232	South Africa	100	1029	Live & Let Live🏳️‍🌈🇿🇦
alltherosez8	D	926293945478516736		0	286	
stormcicles	Stormie	736956683621011456	California, USA	34	110	
Shannn2001	Shannon Roberts	1421578333834420225	England, United Kingdom	0	51	
elisconv	lis‼️	3874582707		167	367	free palestine.
adorekidrauhlz	Lenne	385578274	België	3343	2694	My World Tour, Believe Tour & Purpose Tour // concert addicted / i had a moment with Justin / I MET JACOB W. “U should go on tour with me”
madihunt	madi	1163523022906486784		23	50	i’m not having fun. they/them
Tweetylovee123	Tweety	1255437525960835074	USA	0	226	Tweety bird here 🐥💛
pemsicola	miss piggy’s forehead	1366266199827431424		24	31	might be pema davis in a fever dream
SMIBHx	SMIBH	1226085649456910336	Space	16	691	21+ only, please. | She/Her; They/Them | Oculus Quest 2 & Nintendo Switch: Animal Crossing | Overwatch
dija777	Dija777	91195063	United States	10	264	
kimberlyrren	bitch ass .	3477178692	Atlanta, GA	260	142	
andnickad	nick 🌞	1216184333746065410	Sydney, New South Wales	96	185	🤡
meanhotgirl420	adva	1368412793330950146		12	50	
QwikiePop	Qwikie Pop	1497490206345154561		8	195	
JoniLariat	Joni Lariat	1176134762445950976		8	590	
wishingwelch	james ☆彡	1352400221247074307	19 / any pronouns / uk	64	92	i’m in love with Katya Zamolodchikova and Florence Welch. trans lives matter.
southernshelobx	Shelley Watson	1200567488704139265		5	458	
darthVltimus	chaos	1198706781582774272	Mars	515	3400	with the rage of the old gods
Catvertigo	AltBasicBroad	4825738387		210	874	most happiness in life comes from dumb things (she/her)
sofiasleepless	,	1402290192669683716	🇲🇽 mexicana 	6	167	tengo el poder de dios y lorde de mi lado.
jankimmiee	janelle	1157095753342443520	dumb bitch island	24	145	21 and dumb 💕
upsol_	دهينة الما تنكت	1432007835232178177		114	491	ث.خ أنا التي يقولون بي هه هه
natsmorfazar	Natalie Morfou- Azar	1492184999264763907	Johannesburg, South Africa	24	172	🇿🇦🇨🇾
Furnock	Furnock Sweetleaf	19326396	Portland, OR	267	735	From Greyhawk to The Oregon Coast its Furnock!
ross_michael	Michael Ross	3412295380	Las Vegas, NV	226	122	Celebrating La Dolce Vita. Caring about doing good. And living - Show Up, Look Good, and Be Generous!
DamienA0709	Damien A	913102009527672832	Earth	173	665	Commercial Real Estate Brokerage with a Global MNC Firm. Interests - Geo-Politics, Climate & Environment, Baking. History Jovi/Springsteen/Sambora Fan.
fuqingbitch	🧍🏼‍♀️	3283034407		7	228	
sheridanmusic_	sheridan	1022869200623292416	New York, USA	1568	2202	my new single Far Away – OUT NOW 💿 stream it here:
pandigomitas	Jesi	345542403	Hyrule	232	250	oh hi, thanks for checking in, I’m still a piece of *･゜ﾟ･*:.｡..｡.:*garbage*:.｡. .｡.:*･゜ﾟ･*
BuffetParty	Cool Ranch Devitos	290244187		87	3682	
jalagiwolfhart	james hart	851880396		60	492	Divine Messenger, Medium/Psychic, Healer, spiritualist, mysticism
JoeRyanFlores98	Joe Ryan Flores	1448518722717618177		3	36	This Twitter is mainly for school but I still vibe 🌞💞
isadoranassif	Isadora Nassif	554848683		250	408	
schntgais	phil	1447010577830739968	Los Angeles, CA	26	606	no soggy bottoms
NolanGinna	ginna nolan	1496555141176176640		2	83	
alliesimpson78	allie simps	955782412021071872	Sydney, New South Wales	8	234	yeet she/her
Bookish_Empress	Nomsa C Sekonyela	436175216	Klerksdorp, North West, SA♥	887	4761	I am bookish, I am a lover, I am a purist, I am a spiritual being, I am a creative, I am. Book-reviewer.
rrrraaaeeeeee	petite vanilla bean scone	1489706793349566466	Montréal, Québec	4	51	🫀
SecludedCrayon	James Taylor	106972275	New Zealand	210	2011	Nerd, father, husband, lefty, geriatric millennial, IT Pro, have a penchant for heavy metal, pop culture and using large words unnecessarily. he/him
MarieBarrieau	Julia-Marie Barrieau	1498879724491268097		5	180	~ I Believe ~
kaymmosley	K🌜	2973260759	Georgia, USA	144	238	29•Gemini☉, Aries☾, Capricorn↑ She/Her•Amanda•Jude•Sailor Moon•
flopmommy	go off, flop	1414260415572299784		27	86	fan account
randiiparker	R	733809250758230017	venus	14	94	
jeanofcourse	Jeanmiamor	1061039013832859648		23	63	Im easily spooked
annoyinggpisces	Amelia(Taylor’s Version)	1389756851017953281	Kingdom of corona 	24	349	17 (She/Her)
___alyssarose__	Alyssa🌙	4478683093		163	204	I’m the family disappointment 😜
DorMcC	Dorothy McClure	177354407	Connecticut, USA	1729	3050	Retired Art Teacher, Artist, Bookseller and avid reader. Despise anything tRumpy. #resist #TBAT Badass Teacher Association 🌊🌊🌊🌊🌊🌊🌊 #BLM
EllenHo87995522	Ellen Hoffman	850567707002941442		8	128	
brooke_audy	siren	1100640936491655168	defund wpg police	36	316	keep first things first
PShinefield	Peter shinefield	1174276208110055424		29	1723	No.
lordewit	ᴍᴏɴ	2972543440		3020	263	を
iDontKnow_shitt	Fuckingprincess	1497491960092835840		1	32	🤑
truthwillwin777	Mrmrmr1957	1425794478498004993		24	200	
Kamala4Ohio	MVP Kamala Harris For Ohio 💛 ⚖️⚖️	1087434441507655681	Ohio, USA	689	635	Democratic Constituent from Ohio working to one day elect Vice President Kamala Harris President! #ElectBlackWomen #Kamala4Oh #Harris202X
